,0
infectious and parasitic diseases,found unspecified bacilli bacteriological examination tubercle tuberculosis histological specified sputum microscopy confirmed infection due bacterial done unknown present culture histologically
neoplasms,neoplasm malignant lymph nodes unspecified sites benign cell limb site lymphoma skin leukemia specified carcinoma disease tumor remission upper lower
"endocrine, nutritional and metabolic diseases, and immunity disorders",type unspecified uncontrolled disorders deficiency manifestations stated metabolism specified mention mellitus diabetes ii juvenile without goiter disorder vitamin thyrotoxic crisis
diseases of the blood and blood-forming organs,unspecified anemia disease deficiency specified anemias blood crisis hemolytic thalassemia iron hereditary due thrombocytopenia secondary chronic without cell congenital factor
mental disorders,disorder unspecified type episode remission dependence schizophrenia abuse specified drug disorders current acute episodic recent depressive psychotic affective continuous subchronic
diseases of the nervous system and sense organs,unspecified eye without vision migraine disorders impairment intractable mention disorder elsewhere status classified migrainosus specified associated ear nerve retinal loss
diseases of the circulatory system,unspecified disease heart infarction chronic artery embolism kidney thrombosis stage failure cerebrovascular without venous episode care effects myocardial syndrome cerebral
diseases of the respiratory system,due unspecified pneumonia acute chronic respiratory lung pulmonary virus sinusitis influenza obstruction bronchitis diseases elsewhere classified larynx manifestations asthma without
diseases of the digestive system,obstruction unspecified without mention hemorrhage ulcer perforation hernia specified gangrene acute chronic recurrent intestine cholecystitis teeth site gallbladder jaw gastric
diseases of the genitourinary system,unspecified specified lesion chronic kidney female glomerulonephritis acute disorders genital urinary prostate cervix classified elsewhere renal disorder breast diseases tract
"complications of pregnancy, childbirth, and the puerperium",condition complication antepartum mention unspecified delivered without care episode applicable postpartum pregnancy mother abortion labor complicating childbirth puerperium delivery complicated
diseases of the skin and subcutaneous tissue,due unspecified dermatitis specified ulcer abscess skin erythematous cellulitis condition body carbuncle furuncle contact eczema involving percent surface urticaria tissue
diseases of the musculoskeletal system and connective tissue,region unspecified joint sites specified associated site foot hand ankle arthropathy shoulder upper forearm pelvic thigh arm lower leg multiple
congenital anomalies,anomalies congenital unspecified specified anomaly complete deficiency incomplete without limb system syndrome lip partial stenosis palate ear cleft bifida hydrocephalus
certain conditions originating in the perinatal period,newborn fetus grams affecting unspecified fetal malnutrition without mention due hemorrhage respiratory neonatal maternal birth placenta `` '' perinatal breast
"symptoms, signs, and ill-defined conditions",abnormal nonspecific unspecified findings smear pain quadrant function squamous symptoms swelling mass lump study involving examination results system pelvic rigidity
injury and poisoning,unspecified fracture loss without open wound injury consciousness mention degree intracranial skull body hemorrhage level third hours poisoning part involving
external causes of injury,injuring vehicle accident involving causing effects unspecified therapeutic use adverse motor poisoning collision occupant due specified traffic person transport water
supplementary,history unspecified screening malignant examination status neoplasm specified family suspected prophylactic following born multiple birth hospital vaccination need inoculation problems
